x-axis,1,2
second,Volt,Volt
-96.0000E-06,-2.8318018E-03,+53.4645170E-03
-95.7500E-06,+35.3340288E-03,+26.6805962E-03
-95.5000E-06,+5.7862890E-03,-26.8872455E-03
-95.2500E-06,+15.6355356E-03,+24.6202946E-03
-95.0000E-06,-31.1483857E-03,+24.6202946E-03
-94.7500E-06,+35.3340288E-03,-39.2490551E-03
-94.5000E-06,+14.4043798E-03,+39.0424058E-03
-94.2500E-06,-2.8318018E-03,-6.2842295E-03
-94.0000E-06,+14.4043798E-03,+72.0072314E-03
-93.7500E-06,-1.6006459E-03,+26.6805962E-03
-93.5000E-06,-42.2287881E-03,+24.6202946E-03
-93.2500E-06,+36.5651846E-03,+59.6454218E-03
-93.0000E-06,+25.4847822E-03,+24.6202946E-03
-92.7500E-06,+36.5651846E-03,+24.6202946E-03
-92.5000E-06,+5.7862890E-03,-26.8872455E-03
-92.2500E-06,+39.0274962E-03,+24.6202946E-03
-92.0000E-06,-2.8318018E-03,+72.0072314E-03
-91.7500E-06,-1.6006459E-03,+88.4896442E-03
-91.5000E-06,+27.9470938E-03,+24.6202946E-03
-91.2500E-06,-2.8318018E-03,+55.5248186E-03
-91.0000E-06,+8.2486006E-03,+72.0072314E-03
-90.7500E-06,-2.8318018E-03,+24.6202946E-03
-90.5000E-06,-24.9926066E-03,+24.6202946E-03
-90.2500E-06,-2.8318018E-03,+24.6202946E-03
-90.0000E-06,+25.4847822E-03,+24.6202946E-03
-89.7500E-06,-4.0629576E-03,+24.6202946E-03
-89.5000E-06,-33.6106974E-03,+24.6202946E-03
-89.2500E-06,+18.0978472E-03,+24.6202946E-03
-89.0000E-06,+25.4847822E-03,+24.6202946E-03
-88.7500E-06,-40.9976323E-03,+26.6805962E-03
-88.5000E-06,-24.9926066E-03,+10.1981834E-03
-88.2500E-06,+18.0978472E-03,+24.6202946E-03
-88.0000E-06,+25.4847822E-03,+72.0072314E-03
-87.7500E-06,-2.8318018E-03,+24.6202946E-03
-87.5000E-06,+5.7862890E-03,-107.2390079E-03
-87.2500E-06,-2.8318018E-03,+24.6202946E-03
-87.0000E-06,+47.6455870E-03,-22.7666423E-03
-86.7500E-06,+36.5651846E-03,+24.6202946E-03
-86.5000E-06,+5.7862890E-03,+39.0424058E-03
-86.2500E-06,-2.8318018E-03,-41.3093567E-03
-86.0000E-06,-2.8318018E-03,+72.0072314E-03
-85.7500E-06,-1.6006459E-03,+24.6202946E-03
-85.5000E-06,+19.3290031E-03,+10.1981834E-03
-85.2500E-06,+15.6355356E-03,+24.6202946E-03
